Title,Abstract,StoreId,ArticleType,Authors,copyright,digitalObjectIdentifier,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,FindACopy,Database
FARM RESEARCH EXPANSION STILL ON IKE PROGRAM,"President Eisenhower topped off an inspection tour of the agriculture department's 11,000 acre research center at nearby Beltsville, Md. today by pledging his support of an expanded government agricultural research program.",178482768,Historical Newspapers,," Copyright Tribune Publishing Company May 27, 1953"," 504755222 , 6156332 , 53854", article," May 27, 1953",, English, English, 6," Chicago, Ill.","May 27, 1953",Chicago Daily Tribune (1923-1963),1953,http://search.proquest.com/docview/178482768?accountid=14496, 6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=FARM+RESEARCH+EXPANSION+STILL+ON+IKE+PROGRAM%3A+PRESIDENT+RENEWS+PLEDGE+ON+BELTSVILLE+TOUR&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1953-05-27&amp;volume=&amp;issue=&amp;spage=6&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
START BUILDING NEW NAZARETH NURSES HOME,"Work has begun on a 2 million dollar nurses home for St. Mary of Nazareth hospital, 1120 N. Leavitt st., culminating plans and fund raising activities of more than seven years.",178515431,Historical Newspapers,," Copyright Tribune Publishing Company Jun 7, 1953"," 504818422 , 6156442 , 53854", article," Jun 7, 1953",, English, English, nw1," Chicago, Ill.","Jun 7, 1953",Chicago Daily Tribune (1923-1963),1953,http://search.proquest.com/docview/178515431?accountid=14496, NW1,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=HBI+Advisory+Group+Named&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1954-06-20&amp;volume=&amp;issue=&amp;spage=E11&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
TANGY LIME MERINGUES,,166456601,Historical Newspapers,," Copyright Times Mirror Company Jun 28, 1953"," 434378182 , 5878602 , 53850", article," Jun 28, 1953",0458-3035, English, English, I27," Los Angeles, Calif.","Jun 28, 1953",Los Angeles Times (1923-Current File),1953,http://search.proquest.com/docview/166456601?accountid=14496, I27,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=TANGY+LIME+MERINGUES&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1953-06-28&amp;volume=&amp;issue=&amp;spage=I27&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
CHURCH TO LAY ANNEX STONE IN EVANSTON,"Ceremonies for laying the corner stone of a new two story addition to Immanuel Lutherar church, Lake st. and Sherman av., Evanston, will be held at noon Sunday, following morning worship service.",178576838,Historical Newspapers,," Copyright Tribune Publishing Company Jul 16, 1953"," 505014132 , 6156832 , 53854", article," Jul 16, 1953",, English, English, n1," Chicago, Ill.","Jul 16, 1953",Chicago Daily Tribune (1923-1963),1953,http://search.proquest.com/docview/178576838?accountid=14496, N1,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=CHURCH+TO+LAY+ANNEX+STONE+IN+EVANSTON%3A+IMMANUEL+CONGREGATION+SETS+RITES+SUNDAY.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1953-07-16&amp;volume=&amp;issue=&amp;spage=N1&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
HEARST PAPER AIDE DIES,"Edgar M. Swasey, who had been associated with the Hearst newspapers for the last thirtythree years, died last night shortly after he had been found semiconscious in his gas-filled apartment at 21 West Fifty-eighth Street.",113158854,Historical Newspapers,," Copyright New York Times Company Jan 2, 1954"," 83744262-1 , 1485088 , 43896", article," Jan 2, 1954",0362-4331, English, English,," New York, N.Y.","Jan 2, 1954",New York Times (1923-Current file),1954,http://search.proquest.com/docview/113158854?accountid=14496, 18,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=HEARST+PAPER+AIDE+DIES%3A+E.+M.+SWASEY+OF+SALES+STAFF+IS+FOUND+IN+GAS-FILLED+HOME&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1954-01-02&amp;volume=&amp;issue=&amp;spage=18&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Whittier Church Will Dedicate New Building,,166576736,Historical Newspapers,," Copyright Times Mirror Company Jan 17, 1954"," 453121812 , 5986762 , 53850", article," Jan 17, 1954",0458-3035, English, English,," Los Angeles, Calif.","Jan 17, 1954",Los Angeles Times (1923-Current File),1954,http://search.proquest.com/docview/166576736?accountid=14496, 28,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Whittier+Church+Will+Dedicate+New+Building&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1954-01-17&amp;volume=&amp;issue=&amp;spage=28&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"$11,000,000 Unit's Plans Prepared",,166609157,Historical Newspapers," a Times Correspondent
a Times Correspondent"," Copyright Times Mirror Company Mar 7, 1954"," 453302812 , 5987252 , 53850", article," Mar 7, 1954",0458-3035, English, English,," Los Angeles, Calif.","Mar 7, 1954",Los Angeles Times (1923-Current File),1954,http://search.proquest.com/docview/166609157?accountid=14496, E6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=%2411%2C000%2C000+Unit%27s+Plans+Prepared&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1954-03-07&amp;volume=&amp;issue=&amp;spage=E6&amp;au=a+Times+Correspondent&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
OWNER GETS BACK BIBLE LOST IN 1918,,166617028,Historical Newspapers,," Copyright Times Mirror Company Apr 11, 1954"," 453434702 , 5987602 , 53850", article," Apr 11, 1954",0458-3035, English, English,," Los Angeles, Calif.","Apr 11, 1954",Los Angeles Times (1923-Current File),1954,http://search.proquest.com/docview/166617028?accountid=14496, 35,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=OWNER+GETS+BACK+BIBLE+LOST+IN+1918&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1954-04-11&amp;volume=&amp;issue=&amp;spage=35&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
PORT CHESTER GETS NEW TEXTILE OFFICE,,112875828,Historical Newspapers,," Copyright New York Times Company Jun 20, 1954"," 92590178 , 1534217 , 43896", real_estate_transaction," Jun 20, 1954",0362-4331, English, English,," New York, N.Y.","Jun 20, 1954",New York Times (1923-Current file),1954,http://search.proquest.com/docview/112875828?accountid=14496, R8,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=PORT+CHESTER+GETS+NEW+TEXTILE+OFFICE&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1954-06-20&amp;volume=&amp;issue=&amp;spage=R8&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
HBI Advisory Group Named,,166644033,Historical Newspapers,," Copyright Times Mirror Company Jun 20, 1954"," 450343702 , 5976992 , 53850", article," Jun 20, 1954",0458-3035, English, English,," Los Angeles, Calif.","Jun 20, 1954",Los Angeles Times (1923-Current File),1954,http://search.proquest.com/docview/166644033?accountid=14496, E11,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=HBI+Advisory+Group+Named&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1954-06-20&amp;volume=&amp;issue=&amp;spage=E11&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"BEGIN ADDITION, REMODELING AT SUBURB CHURCH","Construction recently began on an addition to the Methodist Church of Elmhurst and remodeling in the present building at a total cost of $104,000. Completion is expected by December.",178759093,Historical Newspapers,," Copyright Tribune Publishing Company Jul 1, 1954"," 505595292 , 6157912 , 53854", article," Jul 1, 1954",, English, English, w_a4," Chicago, Ill.","Jul 1, 1954",Chicago Daily Tribune (1923-1963),1954,http://search.proquest.com/docview/178759093?accountid=14496, W_A4,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=%27Li%27l+Abner%27+Opens+Monday&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1959-03-15&amp;volume=&amp;issue=&amp;spage=L11&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
WOMAN HURT IN BLAST,"Mrs. Grace Perpall, a former contract bridge champion and wife of a retired Wall Street business man and coin collector, was injured critically at 10:20 A. M. yesterday in a gas explosion in her apartment at 277 Park Avenue, between Forty-seventh and Forty-eighth Streets. Mrs. Perpall, who is 55 years old, was taken to Bellevue Hospital.",112997123,Historical Newspapers,," Copyright New York Times Company Sep 16, 1954"," 92839651-1 , 1535331 , 43896", article," Sep 16, 1954",0362-4331, English, English,," New York, N.Y.","Sep 16, 1954",New York Times (1923-Current file),1954,http://search.proquest.com/docview/112997123?accountid=14496, 24,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=WOMAN+HURT+IN+BLAST%3A+POLICE+FIND+5+BURNERS+OPEN+IN+PARK+AVE.+APARTMENT&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1954-09-16&amp;volume=&amp;issue=&amp;spage=24&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
WACS Get First 'Real Home'; Boasts New Frills,"FORT McCLELLAN, Ala., The new $3,700,000 Women's Army Corps Center here in Northern Alabama is making good all the promises that accompanied its opening last summer.",148652519,Historical Newspapers," By Emma Bugbee
By Emma Bugbee"," Copyright The Washington Post Company Nov 19, 1954"," 150230582 , 1754982 , 48613", article," Nov 19, 1954",, English, English, 67," Washington, D.C.","Nov 19, 1954",The Washington Post and Times Herald (1954-1959),1954,http://search.proquest.com/docview/148652519?accountid=14496, 67,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=WACS+Get+First+%27Real+Home%27%3B+Boasts+New+Frills&amp;title=The+Washington+Post+and+Times+Herald+%281954-1959%29&amp;issn=&amp;date=1954-11-19&amp;volume=&amp;issue=&amp;spage=67&amp;au=By+Emma+Bugbee&amp;isbn=&amp;jtitle=The+Washington+Post+and+Times+Herald+%281954-1959%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
"Get Army Job and See World, Says L.A. Miss","Miss Dee Ramos, a pert, brown-eyed brunette, returned to Los Angeles from Japan yesterday with advice for single women with travel yearnings: ""Get a job as an Army secretary and see the world.",166718589,Historical Newspapers,," Copyright Times Mirror Company Jan 13, 1955"," 435103012 , 5880522 , 53850", article," Jan 13, 1955",0458-3035, English, English, A2," Los Angeles, Calif.","Jan 13, 1955",Los Angeles Times (1923-Current File),1955,http://search.proquest.com/docview/166718589?accountid=14496, A2,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Get+Army+Job+and+See+World%2C+Says+L.A.+Miss&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1955-01-13&amp;volume=&amp;issue=&amp;spage=A2&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"$1,000,000 Shopping Center Planned for West Covina","Benjamin L. Abramson and Richard L. Clark and associates have announced plans for the development of a shopping center in West Covina to be known as the ""Sunset Shopping Center,"" costing in excess of $1,000,000.",166758666,Historical Newspapers,," Copyright Times Mirror Company Apr 17, 1955"," 435502612 , 5881862 , 53850", article," Apr 17, 1955",0458-3035, English, English, F16," Los Angeles, Calif.","Apr 17, 1955",Los Angeles Times (1923-Current File),1955,http://search.proquest.com/docview/166758666?accountid=14496, F16,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=%241%2C000%2C000+Shopping+Center+Planned+for+West+Covina&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1955-04-17&amp;volume=&amp;issue=&amp;spage=F16&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"Husband's Parents Meddle, and He Disappears",DEAR MRS. STARR: My husband came back from Korea in 1953 and we got along fairly well until he arrived at a permanent camp. Then his parents pressured him to divorce me and I haven't heard from him in a year. If and,179517506,Historical Newspapers," Starr, Adaline
Adaline
Adaline Starr
Starr
ADALINE STARR"," Copyright Tribune Publishing Company Jul 7, 1955"," 508727692 , 6194222 , 53854", letter_to_editor," Jul 7, 1955",, English, English, c6," Chicago, Ill.","Jul 7, 1955",Chicago Daily Tribune (1923-1963),1955,http://search.proquest.com/docview/179517506?accountid=14496, C6,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Ahnpchicagotribune&amp;atitle=CHURCH+TO+LAY+ANNEX+STONE+IN+EVANSTON%3A+IMMANUEL+CONGREGATION+SETS+RITES+SUNDAY.&amp;title=Chicago+Daily+Tribune+%281923-1963%29&amp;issn=&amp;date=1953-07-16&amp;volume=&amp;issue=&amp;spage=N1&amp;au=&amp;isbn=&amp;jtitle=Chicago+Daily+Tribune+%281923-1963%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Chicago Tribune
Major Vienna Crisis Threatened on Housing,VIENNA -- Vienna's acute housing shortage is threatening to cause a major crisis.,148866374,Historical Newspapers," By Harry Gelber
By Harry Gelber"," Copyright The Washington Post Company Feb 14, 1956"," 121255033 , 1682816 , 48613", article," Feb 14, 1956",, English, English, 32," Washington, D.C.","Feb 14, 1956",The Washington Post and Times Herald (1954-1959),1956,http://search.proquest.com/docview/148866374?accountid=14496, 32,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpwashingtonpost&amp;atitle=Major+Vienna+Crisis+Threatened+on+Housing&amp;title=The+Washington+Post+and+Times+Herald+%281954-1959%29&amp;issn=&amp;date=1956-02-14&amp;volume=&amp;issue=&amp;spage=32&amp;au=By+Harry+Gelber&amp;isbn=&amp;jtitle=The+Washington+Post+and+Times+Herald+%281954-1959%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The Washington Post
WOMEN'S CLUB OPENS NEW HEADQUARTERS,,113837247,Historical Newspapers,," Copyright New York Times Company May 18, 1956"," 84695990-1 , 1492034 , 43896", article," May 18, 1956",0362-4331, English, English, 14," New York, N.Y.","May 18, 1956",New York Times (1923-Current file),1956,http://search.proquest.com/docview/113837247?accountid=14496, 14,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=WOMEN%27S+CLUB+OPENS+NEW+HEADQUARTERS&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1956-05-18&amp;volume=&amp;issue=&amp;spage=14&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Rapid Selling Volume Told,"A rapid sales pace is being maintained at Valley Vista Homes development, according to Joseph H. Collins, builder.",166984340,Historical Newspapers,," Copyright Times Mirror Company Aug 12, 1956"," 436360042 , 5887432 , 53850", article," Aug 12, 1956",0458-3035, English, English, E18," Los Angeles, Calif.","Aug 12, 1956",Los Angeles Times (1923-Current File),1956,http://search.proquest.com/docview/166984340?accountid=14496, E18,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Rapid+Selling+Volume+Told&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1956-08-12&amp;volume=&amp;issue=&amp;spage=E18&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
Former Fire Station to Be Dedicated as Church,The former headquarters of Engine Co. 19 of La Crescenta will begin serving the community in a different capacity after today.,167026973,Historical Newspapers,," Copyright Times Mirror Company Sep 23, 1956"," 436546182 , 5887852 , 53850", article," Sep 23, 1956",0458-3035, English, English, H9," Los Angeles, Calif.","Sep 23, 1956",Los Angeles Times (1923-Current File),1956,http://search.proquest.com/docview/167026973?accountid=14496, H9,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Former+Fire+Station+to+Be+Dedicated+as+Church&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1956-09-23&amp;volume=&amp;issue=&amp;spage=H9&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
APARTMENT HOUSE SOLD TO HOSPITAL,"The ten-story fireproof apartment building at 410 West Fifty-eighth Street has been purchased by Roosevelt Hospital for $625,000. It will provide housing for the hospital's nursing and medical staffs and for other personnel.",113714427,Historical Newspapers,," Copyright New York Times Company Oct 17, 1956"," 305439622 , 2294852 , 43896", article," Oct 17, 1956",0362-4331, English, English, 58," New York, N.Y.","Oct 17, 1956",New York Times (1923-Current file),1956,http://search.proquest.com/docview/113714427?accountid=14496, 58,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnpnewyorktimeswindex&amp;atitle=APARTMENT+HOUSE+SOLD+TO+HOSPITAL%3A+ROOSEVELT+TO+PROVIDE+SUITES+FOR+STAFF--OTHER+DEALS+IN+MANHATTAN+NOTED&amp;title=New+York+Times+%281923-Current+file%29&amp;issn=03624331&amp;date=1956-10-17&amp;volume=&amp;issue=&amp;spage=58&amp;au=&amp;isbn=&amp;jtitle=New+York+Times+%281923-Current+file%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: The New York Times with Index
Two Additions Set for Hospital,"Increased emergency facilities and a large staff room for doctors will be added to Pasadena's St. Luke Hospital at Washington St. and Del Rey Ave., in a $100,000 improvement program now under way.",167012299,Historical Newspapers,," Copyright Times Mirror Company Jan 13, 1957"," 458345872 , 6017902 , 53850", article," Jan 13, 1957",0458-3035, English, English,," Los Angeles, Calif.","Jan 13, 1957",Los Angeles Times (1923-Current File),1957,http://search.proquest.com/docview/167012299?accountid=14496, G2,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Two+Additions+Set+for+Hospital&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1957-01-13&amp;volume=&amp;issue=&amp;spage=G2&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
Mother-in-Law Killed by Shot Through Door,"Mrs. Lupe Duran, 55, was killed early today by a rifle bullet fired, police said, by her son-in-law, Thomas Raymond Luna Jr., 24, through the door of the Luna apartment into which he was trying to force his way.",167165743,Historical Newspapers,," Copyright Times Mirror Company May 23, 1957"," 437788202 , 5893842 , 53850", article," May 23, 1957",0458-3035, English, English, B9," Los Angeles, Calif.","May 23, 1957",Los Angeles Times (1923-Current File),1957,http://search.proquest.com/docview/167165743?accountid=14496, B9,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Mother-in-Law+Killed+by+Shot+Through+Door&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1957-05-23&amp;volume=&amp;issue=&amp;spage=B9&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
Dance to Open Student Center at Fullerton JC,"Dedication ceremonies for the $170,000 student center building at Fullerton Junior College will be a departure from the ordinary when a ""Dedication Formal"" dance for students will be staged in the new...",167206374,Historical Newspapers,," Copyright Times Mirror Company Sep 22, 1957"," 437973662 , 5894592 , 53850", article," Sep 22, 1957",0458-3035, English, English, I13," Los Angeles, Calif.","Sep 22, 1957",Los Angeles Times (1923-Current File),1957,http://search.proquest.com/docview/167206374?accountid=14496, I13,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=Dance+to+Open+Student+Center+at+Fullerton+JC&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1957-09-22&amp;volume=&amp;issue=&amp;spage=I13&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
"$170,000 School Unit Completed",,167138036,Historical Newspapers,," Copyright Times Mirror Company Oct 6, 1957"," 438030342 , 5894732 , 53850", article," Oct 6, 1957",0458-3035, English, English, F5," Los Angeles, Calif.","Oct 6, 1957",Los Angeles Times (1923-Current File),1957,http://search.proquest.com/docview/167138036?accountid=14496, F5,http://ucelinks.cdlib.org:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Ahnplatimes&amp;atitle=%24170%2C000+School+Unit+Completed&amp;title=Los+Angeles+Times+%281923-Current+File%29&amp;issn=04583035&amp;date=1957-10-06&amp;volume=&amp;issue=&amp;spage=F5&amp;au=&amp;isbn=&amp;jtitle=Los+Angeles+Times+%281923-Current+File%29&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,ProQuest Historical Newspapers: Los Angeles Times
